 ALTURA GPSALT IGRF mag_res1 LAT LONG Line MAGIGRF X Y
206 135.24 653.58 22764.75 6.502253296548787 -27.965172999999997 -49.191998 12060 -53.516000000000005 6905339.0 677841.0
207 110.6 646.73 22764.737999999998 6.379448992271406 -27.964236 -49.192014 12060 -53.595 6905443.0 677841.0
208 113.55 641.57 22764.727000000003 6.553802297527099 -27.963281 -49.192029 12060 -53.376000000000005 6905549.0 677841.0
209 103.63 639.44 22764.716 8.163538566030525 -27.962312 -49.192038000000004 12060 -51.72 6905657.0 677842.0
210 134.22 638.85 22764.705 10.336274834533931 -27.961333000000003 -49.192038000000004 12060 -49.501000000000005 6905765.0 677843.0
211 161.54 635.35 22764.693 12.819168712570438 -27.960345 -49.192046999999995 12060 -46.971000000000004 6905875.0 677844.0
212 197.16 630.84 22764.682 12.802062590607058 -27.959348 -49.192057 12060 -46.941 6905985.0 677845.0
213 236.27 626.96 22764.668999999998 9.845663370747602 -27.958340999999997 -49.192081 12060 -49.851000000000006 6906097.0 677844.0
214 257.59 625.75 22764.657000000003 6.179489504602792 -27.957325 -49.192097 12060 -53.47 6906209.0 677844.0
215 269.48 626.9 22764.646 3.8459239554200977 -27.956301 -49.192091999999995 12060 -55.754 6906323.0 677846.0
216 280.55 626.63 22764.635 2.2520049551853845 -27.955274 -49.192081 12060 -57.298 6906436.0 677849.0
217 264.85 625.51 22764.624 1.122439406002691 -27.95425 -49.19208 12060 -58.378 6906550.0 677851.0
218 231.12 626.06 22764.612 -0.06038100909010069 -27.953232 -49.192101 12060 -59.513999999999996 6906663.0 677850.0
219 188.97 626.08 22764.597999999998 -0.4660055826640672 -27.95222 -49.192141 12060 -59.873999999999995 6906775.0 677848.0
220 161.67 625.6 22764.585 -0.5136301562379373 -27.951213 -49.192181 12060 -59.876000000000005 6906887.0 677846.0
221 142.26 627.31 22764.572999999997 -0.7466081808639231 -27.950211 -49.192209000000005 12060 -60.063 6906998.0 677845.0
222 134.59 629.71 22764.56 -1.6931650102563438 -27.949212 -49.192235 12060 -60.964 6907108.0 677844.0
223 130.8 630.82 22764.548 -2.916917681167824 -27.948214 -49.192252 12060 -62.141000000000005 6907219.0 677844.0
224 141.83 631.03 22764.537 -4.5442491568458365 -27.947219 -49.192269 12060 -63.722 6907329.0 677844.0
225 162.22 632.15 22764.525 -6.798580632523745 -27.94623 -49.192287 12060 -65.93 6907439.0 677844.0
226 159.98 631.89 22764.513 -9.821490912968294 -27.945245 -49.192304 12060 -68.907 6907548.0 677844.0
227 142.5 630.88 22764.501 -9.701626547127383 -27.944260999999997 -49.192325 12060 -68.742 6907657.0 677843.0
228 142.86 631.05 22764.488999999998 -9.537762181286453 -27.943279999999998 -49.19235 12060 -68.533 6907766.0 677842.0
229 159.28 630.95 22764.477000000003 -9.821476620212067 -27.942302 -49.192381 12060 -68.77199999999999 6907874.0 677841.0
230 134.61 628.02 22764.464 -7.511416412852228 -27.941327 -49.192417999999996 12060 -66.418 6907982.0 677839.0
231 148.62 626.18 22764.452 -3.34377740072582 -27.940348999999998 -49.192453 12060 -62.206 6908091.0 677837.0
232 171.11 624.87 22764.44 0.09850816034856535 -27.939372 -49.192482 12060 -58.718999999999994 6908199.0 677836.0
