LINE,X,Y,Bx,By,Bz,Bm,DIST_ABS,MAG_REGIONAL,MAG_MOD,mag_res
         10,18.000000,-47.231000,613.132000,26339.500000,-43657.692000,50991.561000,12.162000,50252.465621,51083.139519,739.095379
         10,18.000000,-47.297000,607.970000,26343.400000,-43666.389000,51000.960000,12.228000,50251.851930,51094.995252,749.108070
         10,18.000000,-47.338000,615.395000,26348.100000,-43676.077000,51011.771000,12.269000,50251.470800,51102.426894,760.300200
         10,18.000000,-47.404000,613.415000,26352.600000,-43684.138000,51020.973000,12.335000,50250.857438,51114.496086,770.115562
         10,18.000000,-47.460000,602.101000,26357.100000,-43692.057000,51029.943000,12.391000,50250.337169,51124.837887,779.605831
         10,18.000000,-47.502000,589.444000,26361.700000,-43702.169000,51040.829000,12.433000,50249.947064,51132.654387,790.881936
         10,18.000000,-47.567000,573.110000,26365.600000,-43712.422000,51051.436000,12.498000,50249.343491,51144.851417,802.092509
         10,18.000000,-47.609000,569.080000,26368.900000,-43719.847000,51059.453000,12.540000,50248.953594,51152.796245,810.499406
         10,18.000000,-47.659000,567.170000,26374.000000,-43727.271000,51068.423000,12.590000,50248.489540,51162.318412,819.933460
         10,18.000000,-47.707000,560.382000,26379.900000,-43737.171000,51079.871000,12.638000,50248.044156,51171.524081,831.826844
         10,18.000000,-47.763000,558.826000,26384.000000,-43746.929000,51090.327000,12.694000,50247.524679,51182.342171,842.802321
         10,18.000000,-47.844000,560.594000,26388.300000,-43757.040000,51101.225000,12.775000,50246.773550,51198.134802,854.451450
         10,18.000000,-47.912000,557.554000,26393.300000,-43766.586000,51111.948000,12.843000,50246.143209,51211.521079,865.804791
